,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
308,Trofimov A.V.,"Trofimov, Andrey V. (57205103265)",57205103265,The Urals' economy during the great patriotic war in the newest historiography; [ЭКОНОМИКА УРАЛА В ГОДЫ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ В НОВЕЙШЕЙ ИСТОРИОГРАФИИ],2020,Ural'skij Istoriceskij Vestnik,67,2,,116,125,9.0,0,10.30759/1728-9718-2020-2(67)-116-125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090709036&doi=10.30759%2f1728-9718-2020-2%2867%29-116-125&partnerID=40&md5=f690f44f48ed6194e0ab0d7e1e31783c,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85090709036
309,Das S.; Mukherjee D.,"Das, Saswati (57209810650); Mukherjee, Diganta (7202334792)",57209810650; 7202334792,The impact of MGNREGS on child labour and child education: an empirical analysis,2019,Development in Practice,29,3,,384,394,10.0,3,10.1080/09614524.2018.1557110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059002491&doi=10.1080%2f09614524.2018.1557110&partnerID=40&md5=a5cc0cadc199a8012f6b941e30a013c6,Article,Final,,Scopus,2-s2.0-85059002491
311,"Carey D., Jr.","Carey, David (25626089000)",25626089000,'The Heart of the Country': The primacy of peasants and maize in modern Guatemala,2019,Journal of Latin American Studies,51,2,,273,306,33.0,1,10.1017/S0022216X18001116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066808500&doi=10.1017%2fS0022216X18001116&partnerID=40&md5=4ddd3376d29f4e05ae857d51673c6897,Review,Final,,Scopus,2-s2.0-85066808500
314,Osita E.E.,"Osita, Egbule Elizabeta (57226780923)",57226780923,"Social determinants of rural secondary school students’ choice of agricultural career and its implication for counseling services: A case of Delta State, Nigeria",2020,Asian Journal of Agriculture and Rural Development,10,1,,515,527,12.0,0,10.18488/journal.1005/2020.10.1/1005.1.515.527,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090670338&doi=10.18488%2fjournal.1005%2f2020.10.1%2f1005.1.515.527&partnerID=40&md5=a2fdd656d4651976af2af53576ae0f08,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85090670338
315,Borschevsky G.A.,"Borschevsky, Georgy A. (57219207545)",57219207545,Forecasting the management apparatus enrollment taking into account the trends of socio-economic development,2020,Public Administration Issues,,2,,54,84,30.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091708308&partnerID=40&md5=1dab1ffba242646cea61b82a8bc98e4c,Article,Final,,Scopus,2-s2.0-85091708308
317,Jover-Avellà G.; Mas-Forners A.; Soto-Company R.; Tello E.,"Jover-Avellà, Gabriel (57193207984); Mas-Forners, Antoni (57031864700); Soto-Company, Ricard (57031936900); Tello, Enric (13411525200)",57193207984; 57031864700; 57031936900; 13411525200,"Socioecological transition in land and labour exploitation in Mallorca: From slavery to a low-wage workforce, 1229-1576",2019,Sustainability (Switzerland),11,1,168,,,,5,10.3390/su11010168,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059346391&doi=10.3390%2fsu11010168&partnerID=40&md5=0e709593a80518743e4e32d0ff5744ac,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85059346391
321,Jiang B.; Wang H.; Larsen L.; Bao F.; Li Z.; Pryor M.,"Jiang, Bin (56373795900); Wang, Huaqing (57210575607); Larsen, Linda (56556013600); Bao, Fengyu (57210585938); Li, Zhigang (55707215900); Pryor, Mathew (56727932500)",56373795900; 57210575607; 56556013600; 57210585938; 55707215900; 56727932500,Quality of sweatshop factory outdoor environments matters for workers’ stress and anxiety: A participatory smartphone-photography survey,2019,Journal of Environmental Psychology,65,,101336,,,,18,10.1016/j.jenvp.2019.101336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070957425&doi=10.1016%2fj.jenvp.2019.101336&partnerID=40&md5=07be0fd089a85bfe3ef320b10e9869cb,Article,Final,,Scopus,2-s2.0-85070957425
327,Deshingkar P.; Awumbila M.; Teye J.K.,"Deshingkar, Priya (8535567100); Awumbila, Mariama (23088470400); Teye, Joseph Kofi (8273144200)",8535567100; 23088470400; 8273144200,"Victims of trafficking and modern slavery or agents of change? Migrants, brokers, and the state in Ghana and Myanmar",2019,Journal of the British Academy,7,S1,,77,106,29.0,15,10.5871/jba/007s1.077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100466060&doi=10.5871%2fjba%2f007s1.077&partnerID=40&md5=717abb98974515bd96155cc3e20c3e52,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85100466060
329,Srivastava R.N.,"Srivastava, Rajendra N. (57201236053)",57201236053,"Children at Work, Child Labor and Modern Slavery in India: An Overview",2019,Indian Pediatrics,56,8,,633,638,5.0,18,10.1007/s13312-019-1584-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071617126&doi=10.1007%2fs13312-019-1584-5&partnerID=40&md5=6897f386a5abf5c9632160cc3c6fd6a2,Article,Final,,Scopus,2-s2.0-85071617126
332,Brooks-Gordon B.; Wijers M.; Jobe A.,"Brooks-Gordon, Belinda (14061874800); Wijers, Marjan (56153753100); Jobe, Alison (55197252500)",14061874800; 56153753100; 55197252500,Justice and civil liberties on sex work in contemporary international human rights law,2020,Social Sciences,9,1,4,,,,7,10.3390/socsci9010004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079422993&doi=10.3390%2fsocsci9010004&partnerID=40&md5=5565ab1c38ed04ef26f2bd73468a4dea,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85079422993
333,Arcury T.A.; Arnold T.J.; Mora D.C.; Sandberg J.C.; Daniel S.S.; Wiggins M.F.; Quandt S.A.,"Arcury, Thomas A. (7005890732); Arnold, Taylor J. (57203877920); Mora, Dana C. (55261840200); Sandberg, Joanne C. (54884900200); Daniel, Stephanie S. (57202874774); Wiggins, Melinda F. (55539821300); Quandt, Sara A. (7005921858)",7005890732; 57203877920; 55261840200; 54884900200; 57202874774; 55539821300; 7005921858,“Be careful!” Perceptions of work-safety culture among hired Latinx child farmworkers in North Carolina,2019,American Journal of Industrial Medicine,62,12,,1091,1102,11.0,16,10.1002/ajim.23045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071761405&doi=10.1002%2fajim.23045&partnerID=40&md5=8c83d3242eb636f63dda21ad04ebe797,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85071761405
334,Chertov S.O.; Batyhina O.M.; Harkusha A.O.,"Chertov, Sergiy O. (57223083270); Batyhina, Olena M. (57201090345); Harkusha, Andrii O. (57194759330)",57223083270; 57201090345; 57194759330,The impact of agricultural production factors on children’s health,2019,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",72,10,,2017,2023,6.0,1,10.36740/wlek201910130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078815364&doi=10.36740%2fwlek201910130&partnerID=40&md5=f7af985e1337439a5ecf222bd7bb24c7,Article,Final,,Scopus,2-s2.0-85078815364
336,Jones G.,"Jones, Grant (56290340900)",56290340900,The construction of a slave identity: an examination of the dual identity of indentured labourers across the Western Pacific,2019,Labor History,60,5,,540,557,17.0,1,10.1080/0023656X.2019.1584272,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063029805&doi=10.1080%2f0023656X.2019.1584272&partnerID=40&md5=06d65adcd5fa152209faaa957728c0cd,Article,Final,,Scopus,2-s2.0-85063029805
337,Das B.,"Das, Banibrata (35760240000)",35760240000,"Health hazards and risks for musculoskeletal problems among child labourers in the brickfield sector of West Bengal, India",2019,International Health,11,4,,250,257,7.0,13,10.1093/inthealth/ihy071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069268693&doi=10.1093%2finthealth%2fihy071&partnerID=40&md5=e221fe84f00326d83883a19f166169cd,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85069268693
339,Pérez-Herrera N.; León-Martínez L.D.; Flores-Ramírez R.; Barbier O.; Ortega-Romero M.; May-Euán F.; Saldaña-Villanueva K.; Perera-Rios J.; Pérez-Vázquez F.J.,"Pérez-Herrera, Norma (24462081700); León-Martínez, Lorena Díaz de (57211777188); Flores-Ramírez, Rogelio (57217584363); Barbier, Olivier (56800320300); Ortega-Romero, Manolo (57193062710); May-Euán, Fernando (57204012842); Saldaña-Villanueva, Kelvin (57210019808); Perera-Rios, Javier (57202945657); Pérez-Vázquez, Francisco Javier (53980406000)",24462081700; 57211777188; 57217584363; 56800320300; 57193062710; 57204012842; 57210019808; 57202945657; 53980406000,"Evaluation of benzene exposure and early biomarkers of kidney damage in children exposed to solvents due to precarious work in ticul, yucatán, méxico",2019,Annals of Global Health,85,1,94,,,,17,10.5334/aogh.2538,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069267242&doi=10.5334%2faogh.2538&partnerID=40&md5=b4b02b453241caa3a9f0c813537d6644,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85069267242
340,Thiemann I.K.,"Thiemann, Inga K. (57211043558)",57211043558,Beyond victimhood and beyond employment? Exploring avenues for labour law to empower women trafficked into the sex industry,2019,Industrial Law Journal,48,2,,199,224,25.0,5,10.1093/indlaw/dwy015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056886444&doi=10.1093%2findlaw%2fdwy015&partnerID=40&md5=63ca8c0213549f764666502a86a91d2c,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85056886444
347,Kožul A.,"Kožul, Ante (57219161537)",57219161537,"Friar Roko Romac, Spiritual father of Croats in Australia (1955 - 1970); [Fra Roko Romac, dušobrižnik Hrvata u Australiji 1955.-1970]",2020,Obnovljeni Zivot,75,3,,349,361,12.0,0,10.31337/oz.75.3.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091476822&doi=10.31337%2foz.75.3.5&partnerID=40&md5=edb3b343af6a83d11c357eb69b5b1dd3,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85091476822
348,Arcury T.A.; Arnold T.J.; Sandberg J.C.; Quandt S.A.; Talton J.W.; Malki A.; Kearney G.D.; Chen H.; Wiggins M.F.; Daniel S.S.,"Arcury, Thomas A. (7005890732); Arnold, Taylor J. (57203877920); Sandberg, Joanne C. (54884900200); Quandt, Sara A. (7005921858); Talton, Jennifer W. (35338060600); Malki, Andreina (57205244559); Kearney, Gregory D. (56999195600); Chen, Haiying (57126555300); Wiggins, Melinda F. (55539821300); Daniel, Stephanie S. (57202874774)",7005890732; 57203877920; 54884900200; 7005921858; 35338060600; 57205244559; 56999195600; 57126555300; 55539821300; 57202874774,Latinx child farmworkers in North Carolina: Study design and participant baseline characteristics,2019,American Journal of Industrial Medicine,62,2,,156,167,11.0,27,10.1002/ajim.22938,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059249044&doi=10.1002%2fajim.22938&partnerID=40&md5=537b2a1c5c8d38ea7fdb301585ca8308,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85059249044
353,Verena Matheis T.; Herzig C.,"Verena Matheis, Tanja (57209974126); Herzig, Christian (35565474300)",57209974126; 35565474300,"Upgrading products, upgrading work? Interorganizational learning in global food value chains to achieve the Sustainable Development Goals",2019,GAIA - Ecological Perspectives for Science and Society,28,2,,126,134,8.0,5,10.14512/gaia.28.2.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069193715&doi=10.14512%2fgaia.28.2.11&partnerID=40&md5=73f49c7e1b1155b08276176941761cc0,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85069193715
354,Ryabova Y.V.,"Ryabova, Y.V. (57224184679)",57224184679,Prison Labor in the Southern Kuzbass Corrective Labor Camp of the USSR Ministry of Internal Affairs (1947 1950),2020,"Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya",19,1,,97,111,14.0,0,10.25205/1818-7919-2020-19-1-97-111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107217172&doi=10.25205%2f1818-7919-2020-19-1-97-111&partnerID=40&md5=b9499e74fb08ff8270e0786c6432d6c3,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85107217172
359,Awan U.; Kraslawski A.; Huiskonen J.,"Awan, Usama (55849496400); Kraslawski, Andrzej (7003512199); Huiskonen, Janne (6602077010)",55849496400; 7003512199; 6602077010,"Governing interfirm relationships for social sustainability: The relationship between governance mechanisms, sustainable collaboration, and cultural intelligence",2018,Sustainability (Switzerland),10,12,4473,,,,100,10.3390/su10124473,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057437713&doi=10.3390%2fsu10124473&partnerID=40&md5=6df9e85c42e0a19a66552cf58492fd6d,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85057437713
360,Hardstaff S.,"Hardstaff, Sarah (56079110300)",56079110300,Economies of Childness in Cynthia Voigt’s Homecoming,2019,Children's Literature in Education,50,1,,47,59,12.0,1,10.1007/s10583-018-9375-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061200730&doi=10.1007%2fs10583-018-9375-5&partnerID=40&md5=62e2ad8c6e8d3598f2a4f5097e69759c,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85061200730
362,Koegler E.; Mohl A.; Preble K.; Teti M.,"Koegler, Erica (56746370100); Mohl, Amanda (57209459867); Preble, Kathleen (55753876000); Teti, Michelle (15844021900)",56746370100; 57209459867; 55753876000; 15844021900,"Reports and Victims of Sex and Labor Trafficking in a Major Midwest Metropolitan Area, 2008-2017",2019,Public Health Reports,134,4,,432,440,8.0,10,10.1177/0033354919854479,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067825537&doi=10.1177%2f0033354919854479&partnerID=40&md5=f514108ad64dc9c2ed4d83c890377304,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85067825537
363,Quandt S.A.; Arnold T.J.; Mora D.C.; Sandberg J.C.; Daniel S.S.; Arcury T.A.,"Quandt, Sara A. (7005921858); Arnold, Taylor J. (57203877920); Mora, Dana C. (55261840200); Sandberg, Joanne C. (54884900200); Daniel, Stephanie S. (57202874774); Arcury, Thomas A. (7005890732)",7005921858; 57203877920; 55261840200; 54884900200; 57202874774; 7005890732,Hired Latinx child farm labor in North Carolina: The demand-support-control model applied to a vulnerable worker population,2019,American Journal of Industrial Medicine,62,12,,1079,1090,11.0,24,10.1002/ajim.23039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070928174&doi=10.1002%2fajim.23039&partnerID=40&md5=5b32a31c0baff1ba6a528a5c4094632b,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85070928174
365,Chakraborty K.; Chakraborty B.,"Chakraborty, Kamalika (57218381641); Chakraborty, Bidisha (18436098700)",57218381641; 18436098700,Will an increase in landholding size reduce child labour in the presence of unemployment? A theoretical analysis,2019,Economic Annals,64,221,,85,106,21.0,2,10.2298/EKA1921085C,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078228935&doi=10.2298%2fEKA1921085C&partnerID=40&md5=72a582d7d694fcbac1814b05fb46c896,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85078228935
368,Donahue J.L.,"Donahue, Jennifer Lynn (56263108700)",56263108700,"Consuming the Caribbean: Tourism, sex tourism, and land development in Nicole Dennis-Benn's here comes the sun",2019,Ariel,50,2-3,,59,80,21.0,2,10.1353/ari.2019.0014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070556270&doi=10.1353%2fari.2019.0014&partnerID=40&md5=0eca940b4646dd959247c00c596c644b,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85070556270
370,Harnoncourt J.,"Harnoncourt, Julia (57218767252)",57218767252,Forms of unfree labour in Brazil: Dealing with racism and racialisation in amazonian agriculture,2020,Historein,19,1,,,,,1,10.12681/historein.18612,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090211227&doi=10.12681%2fhistorein.18612&partnerID=40&md5=0316cba560302ca06a7c8474e3a92d77,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85090211227
371,Siman F.M.; de Oliveira M.L.R.,"Siman, Frederico Magalhães (57214910954); de Oliveira, Marcelo Leles Romarco (55969444800)",57214910954; 55969444800,"Contradictions of peasant survival: Knowledge, territoriality and labor in a traditional community in Minas Gerais, Brazil; [Contradições da sobrevivência camponesa: Saber, territorialidade e trabalho numa comunidade tradicional de Minas Gerais, Brasil]",2019,Revista Geografica Venezolana,60,2,,484,498,14.0,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079498008&partnerID=40&md5=dcf965f303a57d9de40596af76b42fa1,Article,Final,,Scopus,2-s2.0-85079498008
372,Arcury T.A.; Arnold T.J.; Quandt S.A.; Chen H.; Kearney G.D.; Sandberg J.C.; Talton J.W.; Wiggins M.F.; Daniel S.S.,"Arcury, Thomas A. (7005890732); Arnold, Taylor J. (57203877920); Quandt, Sara A. (7005921858); Chen, Haiying (57126555300); Kearney, Gregory D. (56999195600); Sandberg, Joanne C. (54884900200); Talton, Jennifer W. (35338060600); Wiggins, Melinda F. (55539821300); Daniel, Stephanie S. (57202874774)",7005890732; 57203877920; 7005921858; 57126555300; 56999195600; 54884900200; 35338060600; 55539821300; 57202874774,"Health and occupational injury experienced by latinx child farmworkers in North Carolina, USA",2020,International Journal of Environmental Research and Public Health,17,1,248,,,,27,10.3390/ijerph17010248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077626701&doi=10.3390%2fijerph17010248&partnerID=40&md5=8b899ae594d24ab20c33ddb105cbd262,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85077626701
374,Sukhova O.A.,"Sukhova, Olga A. (57193094045)",57193094045,The Soviet peasantry as a resource of mobilization economy: Historical experience and the realities of socialism; [СОВЕТСКОЕ КРЕСТЬЯНСТВО КАК РЕСУРС МОБИЛИЗАЦИОННОЙ ЭКОНОМИКИ: ИСТОРИЧЕСКИЙ ОПЫТ И РЕАЛИИ СОЦИАЛИЗМА],2020,Ural'skij Istoriceskij Vestnik,66,1,,103,112,9.0,1,10.30759/1728-9718-2020-1(66)-103-112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085385483&doi=10.30759%2f1728-9718-2020-1%2866%29-103-112&partnerID=40&md5=ea4c1169f2bf9fee322cfa37a45337dc,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85085385483
377,Balagopalan S.,"Balagopalan, Sarada (6602425812)",6602425812,‘Afterschool and during vacations’: on labor and schooling in the postcolony,2019,Children's Geographies,17,2,,231,245,14.0,15,10.1080/14733285.2018.1490008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049623340&doi=10.1080%2f14733285.2018.1490008&partnerID=40&md5=234bf7b162396b453f148eab9abf5712,Article,Final,,Scopus,2-s2.0-85049623340
378,Dumont-Robillard M.,"Dumont-Robillard, Myriam (58290301200)",58290301200,When governments create unfreedom: rehumanizing migrant domestic workers,2019,Labour and Industry,29,4,,337,351,14.0,3,10.1080/10301763.2019.1643820,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129836445&doi=10.1080%2f10301763.2019.1643820&partnerID=40&md5=51825888291a45a5b3679b462e75baf9,Article,Final,,Scopus,2-s2.0-85129836445
383,Perry J.A.,"Perry, J. Adam (56659997700)",56659997700,"Images of work, images of defiance: engaging migrant farm worker voice through community-based arts",2019,Agriculture and Human Values,36,3,,627,640,13.0,14,10.1007/s10460-018-9861-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044528636&doi=10.1007%2fs10460-018-9861-9&partnerID=40&md5=8e0c9c06fc64bcae808fc26c18389a3b,Article,Final,,Scopus,2-s2.0-85044528636
385,Kwiringira J.N.; Ariho P.; Zakumumpa H.; Mugisha J.; Rujumba J.; Mugisha M.M.,"Kwiringira, Japheth Nkiriyehe (38961398000); Ariho, Paulino (57209050106); Zakumumpa, Henry (57191610518); Mugisha, James (37023472700); Rujumba, Joseph (37001398700); Mugisha, Marion Mutabazi (57209048855)",38961398000; 57209050106; 57191610518; 37023472700; 37001398700; 57209048855,"Livelihood Risk, Culture, and the HIV Interface: Evidence from Lakeshore Border Communities in Buliisa District, Uganda",2019,Journal of Tropical Medicine,2019,,6496240,,,,12,10.1155/2019/6496240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066398334&doi=10.1155%2f2019%2f6496240&partnerID=40&md5=a10cddb049c3ffdee40a3b00c32a8323,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85066398334
389,Luckstead J.; Tsiboe F.; Nalley L.L.,"Luckstead, Jeff (35315867600); Tsiboe, Francis (57188804159); Nalley, Lawton L. (55837353600)",35315867600; 57188804159; 55837353600,Estimating the economic incentives necessary for eliminating child labor in Ghanaian cocoa production,2019,PLoS ONE,14,6,e0217230,,,,17,10.1371/journal.pone.0217230,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067172567&doi=10.1371%2fjournal.pone.0217230&partnerID=40&md5=f81adc6c501c77cf4e1a61b76094e0d2,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85067172567
390,Chesney T.; Evans K.; Gold S.; Trautrims A.,"Chesney, Thomas (23491520600); Evans, Keith (57205354771); Gold, Stefan (7202072222); Trautrims, Alexander (55439938200)",23491520600; 57205354771; 7202072222; 55439938200,Understanding labour exploitation in the Spanish agricultural sector using an agent based approach,2019,Journal of Cleaner Production,214,,,696,704,8.0,28,10.1016/j.jclepro.2018.12.282,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059697157&doi=10.1016%2fj.jclepro.2018.12.282&partnerID=40&md5=c35f9e6d09361b7fad052d9a723dacc0,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85059697157
395,Ochirov U.B.; Vorobyova V.N.,"Ochirov, Utash B. (55480970500); Vorobyova, Valentina N. (57219936193)",55480970500; 57219936193,Kalmyk red army soldiers in shirokovsky forced labor camp: A statistical survey,2020,Oriental Studies,13,2,,330,357,27.0,7,10.22162/2619-0990-2020-48-2-330-357,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096160865&doi=10.22162%2f2619-0990-2020-48-2-330-357&partnerID=40&md5=0a06f7103425c98050a45961cf73fe87,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85096160865
397,Stepanov M.,"Stepanov, Mikhail (57223890320)",57223890320,Forced migration of labor resources (on the example of deportation of germans to Khakassia); [Принудительная миграция трудовых ресурсов (на примере депортации немцев в Хакасию)],2020,Historia i Swiat,9,,,147,154,7.0,0,10.34739/his.2020.09.09,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106347653&doi=10.34739%2fhis.2020.09.09&partnerID=40&md5=3f7a81f02f4670205d48ab7f7b40d83e,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85106347653
398,Roberts A.R.,"Roberts, Andrea R. (57195102935)",57195102935,"Haunting as agency: A critical cultural landscape approach to making black labor visible in Sugar Land, Texas",2020,ACME,19,1,,210,244,34.0,8,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085993308&partnerID=40&md5=47d845ac9658ac17a45a8fe75337b287,Article,Final,,Scopus,2-s2.0-85085993308
399,Cho S.-H.; Fang X.; Tayur S.; Xu Y.,"Cho, Soo-Haeng (56984278200); Fang, Xin (56447641600); Tayur, Sridhar (57203242681); Xu, Ying (36802844900)",56984278200; 56447641600; 57203242681; 36802844900,Combating child labor: Incentives and information disclosure in global supply chains,2019,Manufacturing and Service Operations Management,21,3,,692,711,19.0,90,10.1287/msom.2018.0733,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074541923&doi=10.1287%2fmsom.2018.0733&partnerID=40&md5=453e556b44f2ccf707913e6b52f5c2d9,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85074541923
475,Jamali D.; Lund-Thomsen P.; Khara N.,"Jamali, Dima (6507583282); Lund-Thomsen, Peter (6507231431); Khara, Navjote (28767814700)",6507583282; 6507231431; 28767814700,CSR Institutionalized Myths in Developing Countries: An Imminent Threat of Selective Decoupling,2017,Business and Society,56,3,,454,486,32.0,131,10.1177/0007650315584303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012901846&doi=10.1177%2f0007650315584303&partnerID=40&md5=1cd8eb5acbcaa979e28ed7a5c34cb341,Article,Final,,Scopus,2-s2.0-85012901846
477,New S.J.,"New, Stephen John (7003886890)",7003886890,Modern slavery and the supply chain: the limits of corporate social responsibility?,2015,Supply Chain Management,20,6,,697,707,10.0,182,10.1108/SCM-06-2015-0201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944885673&doi=10.1108%2fSCM-06-2015-0201&partnerID=40&md5=49b11ba5e26d848196baaf2433e5d6a8,Article,Final,,Scopus,2-s2.0-84944885673
481,Mehrotra S.; Parida J.; Sinha S.; Gandhi A.,"Mehrotra, Santosh (55242532900); Parida, Jajati (56338021400); Sinha, Sharmistha (57208006379); Gandhi, Ankita (54974862400)",55242532900; 56338021400; 57208006379; 54974862400,Explaining employment trends in the indian economy: 1993-94 to 2011-12,2014,Economic and Political Weekly,,32,,49,57,8.0,102,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906545455&partnerID=40&md5=b7f3b7710b6418af91967ba94310b3d4,Article,Final,,Scopus,2-s2.0-84906545455
542,Phillips N.,"Phillips, Nicola (17339199800)",17339199800,Unfree labour and adverse incorporation in the global economy: Comparative perspectives on Brazil and India,2013,Economy and Society,42,2,,171,196,25.0,143,10.1080/03085147.2012.718630,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875371733&doi=10.1080%2f03085147.2012.718630&partnerID=40&md5=5a824123cbaf1abc0093dce72c1fda90,Article,Final,,Scopus,2-s2.0-84875371733
544,Lund-Thomsen P.; Nadvi K.,"Lund-Thomsen, Peter (6507231431); Nadvi, Khalid (6602339456)",6507231431; 6602339456,"Clusters, Chains and Compliance: Corporate Social Responsibility and Governance in Football Manufacturing in South Asia",2010,Journal of Business Ethics,93,SUPPL. 2,,201,222,21.0,135,10.1007/s10551-010-0561-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650416332&doi=10.1007%2fs10551-010-0561-7&partnerID=40&md5=0db23e4a56e3d78a3e939f94fa78840b,Article,Final,,Scopus,2-s2.0-78650416332
563,Huq F.A.; Stevenson M.; Zorzini M.,"Huq, Fahian Anisul (56147218700); Stevenson, Mark (35077237500); Zorzini, Marta (14622069500)",56147218700; 35077237500; 14622069500,Social sustainability in developing country suppliers: An exploratory study in the ready made garments industry of Bangladesh,2014,International Journal of Operations and Production Management,34,5,,610,638,28.0,285,10.1108/IJOPM-10-2012-0467,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899768144&doi=10.1108%2fIJOPM-10-2012-0467&partnerID=40&md5=20b95878057d0e3a2f9b00bd39407ff2,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84899768144
647,Khan F.R.; Munir K.A.; Willmott H.,"Khan, Farzad R. (16304231600); Munir, Kamal A. (9736358100); Willmott, Hugh (7004818710)",16304231600; 9736358100; 7004818710,"A dark side of institutional entrepreneurship: Soccer balls, child labour and postcolonial impoverishment",2007,Organization Studies,28,7,,1055,1077,22.0,312,10.1177/0170840607078114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250378372&doi=10.1177%2f0170840607078114&partnerID=40&md5=c44f5b31b5ad004917327f27d5f4c0cc,Article,Final,,Scopus,2-s2.0-34250378372
